Id,Title,Price,User_id,profileName,review/helpfulness,review/score
1861263678,Audi Quattro: The Complete Story,37.95,A5G9BP3U4N3JI,Billy,7/9,5.0
1404229280,Natural Wonders of the World: Converting Measurements to Metric Units (Powermath),25.25,A1NPJB6ISLPPRL,"Michael Tsanis ""ArtDirector-amuck!""",0/1,5.0
0471816523,Thinking Recursively,72.58,A2Y2ZMVBOH4XVW,Michael Benitah,23/23,5.0
0471816523,Thinking Recursively,72.58,A2DTXG7133VCZF,Joseph Bradley Mccullough,3/3,5.0
1861081197,Woodturning A Fresh Approach,24.95,A2G69J8MFETIW0,"H. D. Mill ""Shavings""",1/1,5.0
1861081197,Woodturning A Fresh Approach,24.95,A2FNDSS5KSMF7P,Ralph M.Cox,0/0,5.0
1861081197,Woodturning A Fresh Approach,24.95,A1V8LNOME6CM0V,Brian Partridge,0/0,5.0
0811201104,The Cosmological Eye,16.17,A3P09BMWW9J3RH,"Jesse Wolf ""also known as Jesse Anson Dawn""",1/3,5.0
0811201104,The Cosmological Eye,16.17,A2759VIZDS0GBU,kelly gallagher,7/14,4.0
0811201104,The Cosmological Eye,16.17,A13RIADRE1SPL6,Mike,6/23,5.0
031219546X,First Cut: A Season in the Human Anatomy Lab,12.31,AQUF727723FC5,drxena@animalhouse.com,6/7,5.0
031219546X,First Cut: A Season in the Human Anatomy Lab,12.31,A3SN78XJD19FAK,jmacneil@gte.net,2/3,5.0
031219546X,First Cut: A Season in the Human Anatomy Lab,12.31,AAVKU4DFGY3MI,Sam Adams,0/0,5.0
031219546X,First Cut: A Season in the Human Anatomy Lab,12.31,AEJ448JHWNWU0,K. Robison,0/0,4.0
031219546X,First Cut: A Season in the Human Anatomy Lab,12.31,A3UZPA65GB10LJ,A. Cornell,0/0,5.0
031219546X,First Cut: A Season in the Human Anatomy Lab,12.31,A2SKRDOX03QDQB,Dr. Simon Richardson,1/10,2.0
0140424474,John Keats: Selected Poems (Penguin Classics: Poetry),10.4,AHD101501WCN1,"Shalom Freedman ""Shalom Freedman""",4/11,5.0
156511986X,The Romantic Poets,21.86,A2T2A4YSJ9YWV4,Gerard D. Launay,11/11,4.0
156511986X,The Romantic Poets,21.86,A3M174IC0VXOS2,Gail Cooke,11/11,5.0
156511986X,The Romantic Poets,21.86,AXWX5NPVWR8KG,"Daniel R. Greenfield ""Dan""",13/21,4.0
156511986X,The Romantic Poets,21.86,A2GAS8ZX9EZO8H,M. Martell,0/1,4.0
1584280352,How to Buy and Sell Used Cameras,19.95,A3JQUVUKHTVRML,Shock Writer,6/7,3.0
1584280352,How to Buy and Sell Used Cameras,19.95,A1D64RQU3CPG8O,David K. Keith,1/3,3.0
0970417543,101 Best Ways to Be Your Best,19.95,A2VA32U0WRP3BY,"Frank Lunn ""Author of 'Carpe Aqualis!- Seize ...",1/1,5.0
0970417543,101 Best Ways to Be Your Best,19.95,A34ZDGGESIDTYM,"George Petrovsky ""Starichok""",1/1,5.0
0970417543,101 Best Ways to Be Your Best,19.95,A1I6F3UABKMUIV,"Coach Phil ""Author of over 500 articles at ww...",0/0,5.0
0515120448,The Wild Baron (Baron Series),7.99,A3J3STMDXS95FX,"Laurie Gold ""Book Savant""",9/10,4.0
0515120448,The Wild Baron (Baron Series),7.99,AK7D1BHZOSOL1,General Pete,3/3,3.0
0515120448,The Wild Baron (Baron Series),7.99,ARDKMGGIDSO3,Karen Hubbell,3/3,5.0
0515120448,The Wild Baron (Baron Series),7.99,A13F2IV3ME23R,"M. Hartmann ""abayyan""",2/2,5.0
0515120448,The Wild Baron (Baron Series),7.99,A2NQRYOU9HYE6S,"L. Toll ""www.iblist.com""",1/1,3.0
0515120448,The Wild Baron (Baron Series),7.99,ANQGWQBWY9VT6,Bertie McNeil,0/0,4.0
0515120448,The Wild Baron (Baron Series),7.99,A2U3M9LUHH9K6C,"L. Jones ""lj""",0/0,4.0
0515120448,The Wild Baron (Baron Series),7.99,A15LL224UTNB4O,Agent Scully,0/0,4.0
0515120448,The Wild Baron (Baron Series),7.99,A12JCV6I2E4J1X,"A. Rummelhart ""Book Goddess""",0/0,5.0
0515120448,The Wild Baron (Baron Series),7.99,ALDA6KF5TLOB7,"T. Hager ""i-love-reading""",3/8,1.0
0814794041,Sorcerers' Apprentices: 100 Years of Law Clerks at the United States Supreme Court,65.0,A211GMNT1HY28Q,Ronald H. Clark,15/16,5.0
0814794041,Sorcerers' Apprentices: 100 Years of Law Clerks at the United States Supreme Court,65.0,ADPJGP4A9GLQQ,Holly Blaine,1/1,5.0
0814794041,Sorcerers' Apprentices: 100 Years of Law Clerks at the United States Supreme Court,65.0,AYQ2BWAU0DOBD,"P. M. Bradshaw ""P.M. Bradshaw""",2/3,4.0
0814794041,Sorcerers' Apprentices: 100 Years of Law Clerks at the United States Supreme Court,65.0,A2XOXD1YHP1MV7,Nicholas G. Smith,1/2,5.0
0814794041,Sorcerers' Apprentices: 100 Years of Law Clerks at the United States Supreme Court,65.0,AX7JZ2GOAVK38,"aa ""aa""",8/19,5.0
